Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
NEO,2019-05-21,12.0506150261,11.7283030489,12.5194352881,10.4857091892
NEO,2019-05-22,12.2346867588,12.0669992368,12.6057258919,11.737323059
NEO,2019-05-23,11.4296929458,12.2294544635,12.3558021951,11.0621721612
NEO,2019-05-24,11.6754811713,11.4298563419,11.7292621243,10.7369287801
NEO,2019-05-25,11.6426637151,11.6699362583,12.0192238894,11.2947901402
NEO,2019-05-26,11.4995730704,11.5898413274,11.7867018704,11.3826140958
NEO,2019-05-27,11.873513376,11.5007788837,12.1606379912,11.1884417443
NEO,2019-05-28,12.3347303825,11.8662504709,12.7895340676,11.8588222636
NEO,2019-05-29,12.6812769425,12.3930930469,12.8320321795,11.8771369694
NEO,2019-05-30,13.9036338856,12.6798536064,14.4740895392,11.8204670557
NEO,2019-05-31,12.6853277921,13.6480848463,14.9918014557,12.1396641487
NEO,2019-06-01,13.3971443716,12.6817429772,13.4239760933,0.7971262824
NEO,2019-06-02,13.9582805972,13.3988128821,14.3664607137,13.277153606
NEO,2019-06-03,14.058883503,13.9535393686,14.2043009407,0.9558803204
NEO,2019-06-04,13.1132540801,14.0588320866,14.154326412,1.2104613274
NEO,2019-06-05,11.2821329662,12.413595705,12.4443591835,1.0652884576
NEO,2019-06-06,11.6061406799,11.2821237561,11.8621246995,5.9563084699
NEO,2019-06-07,11.4960776238,11.5955240793,11.9777178375,6.7282843291
NEO,2019-06-08,12.3270988384,11.5024366805,12.5730390258,5.7787757155
NEO,2019-06-09,12.07965091,12.3283689949,12.4717270682,0.807798468
NEO,2019-06-10,11.3531974266,12.0184537341,12.0837737503,0.7974768526
NEO,2019-06-11,12.2006844554,11.3527887239,12.5165714894,11.2994493888
NEO,2019-06-12,12.3283726132,12.3404438696,12.4603025244,7.1778259062
NEO,2019-06-13,12.7824160722,12.3273623027,13.0450953996,7.457496352
NEO,2019-06-14,13.1549499673,12.9525250329,13.6050447863,7.831465263
NEO,2019-06-15,13.2638333376,13.1515416009,13.2805084286,1.7625354018
