Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LSK,2019-07-25,1.6103307434,1.637256923,1.7587833743,1.5155833152
LSK,2019-07-26,1.601802388,1.6103587765,1.6791923261,1.5727583346
LSK,2019-07-27,1.5510718507,1.6014780222,1.6020978432,1.5268748016
LSK,2019-07-28,1.4557813502,1.5508056027,1.5898740538,1.4401118654
LSK,2019-07-29,1.3983946519,1.4579656596,1.4748691049,1.3478131668
LSK,2019-07-30,1.3908965367,1.3834385717,1.4382505696,1.3628759017
LSK,2019-07-31,1.3700961951,1.3909229347,1.4481617391,1.3645566146
LSK,2019-08-01,1.3883778963,1.3701504693,1.534134673,1.3631134668
LSK,2019-08-02,1.3146912375,1.3882842385,1.4272667049,1.307980423
LSK,2019-08-03,1.3391607946,1.3146328607,1.3892504243,1.2829738765
LSK,2019-08-04,1.3141329078,1.3391867445,1.3499602798,1.2964575235
LSK,2019-08-05,1.3054654774,1.3141037433,1.3438994772,1.2915826759
LSK,2019-08-06,1.2868467176,1.3058066393,1.4399734539,1.2609062056
LSK,2019-08-07,1.2445977646,1.2869218846,1.3026433118,1.2157529553
LSK,2019-08-08,1.2713949011,1.24464745,1.3446168932,1.2287362532
LSK,2019-08-09,1.2943049117,1.2713420269,1.3032279475,1.2409190048
LSK,2019-08-10,1.2522823662,1.2944628164,1.307583477,1.2333013997
LSK,2019-08-11,1.230938877,1.2522760163,1.2739884289,1.1809567178
LSK,2019-08-12,1.290819737,1.2249452665,1.2973630041,1.2221716333
LSK,2019-08-13,1.2374423197,1.2907912112,1.2945394537,1.233200996
LSK,2019-08-14,1.2357373177,1.2373918501,1.2658417116,1.1930329735
LSK,2019-08-15,1.1600353859,1.2394025313,1.2521736832,1.1357851355
LSK,2019-08-16,1.187044614,1.1601466212,1.2048398618,1.0877956726
LSK,2019-08-17,1.1873202439,1.1814045035,1.2018987856,1.1223396657
LSK,2019-08-18,1.2535838005,1.187474007,1.4746194108,1.1694428165
LSK,2019-08-19,1.2396098428,1.2470806236,1.2650236281,1.1911765237
LSK,2019-08-20,1.2697385089,1.2396358986,1.2799042816,1.2231948835
LSK,2019-08-21,1.2035972159,1.2699699323,1.2829201834,1.1743510996
LSK,2019-08-22,1.191795942,1.2038811722,1.2137342243,1.1480420689
LSK,2019-08-23,1.2173460234,1.191985769,1.2299692347,1.1510929102
LSK,2019-08-24,1.2213371967,1.2165163947,1.2591902461,1.2071407631
LSK,2019-08-25,1.184761332,1.2215568319,1.2410692493,1.1600770061
LSK,2019-08-26,1.1834292988,1.1846259352,1.2227924927,1.1601056084
LSK,2019-08-27,1.1917906282,1.1836754441,1.217904407,1.1681076933
